Complex_word,Text,Candidates,Mu_legibilituy,Chatgpt_inferred_candidates,Gemini_inferred_candidates
mimetizar,"Apareció por primera vez en ""Tekken 3"" sorprendiendo a los fanáticos del ""Tekken"", pues Mokujin tiene la capacidad de mimetizar las técnicas de todos los personajes (mojukin-ken).","{'interpretar': 1, 'imitar': 9, 'esconder': 1, 'aprender': 1, 'copiar': 7, 'emular': 1, 'combinar': 1, 'mimetizar': 1, 'igualar': 1, 'asemejar': 1, 'asimilar': 1}",47.00728265817023,"{'simular': 1, 'imitar': 1, 'replicar': 1, 'emular': 1, 'copiar': 1}","{'copiar': 1, 'imitar': 1, 'replicar': 1, 'impersonar': 1, 'simular': 1}"
encarnación,"Así, fue creado """"P.T. Barnum's Great Traveling Museum, Menagerie, Caravan, and Hippodrome"""", que fue el verdadero principio del continuo funcionamiento de la encarnación actual del circo.","{'nacimiento': 1, 'figura': 1, 'representado': 1, 'reaparición': 1, 'representación': 8, 'personificación': 4, 'imagen': 2, 'materialización': 2, 'objetivo': 1, 'resurrección': 1, 'manifestación': 1, 'versión': 2}",56.67378166388068,"{'simbolización': 1, 'representación': 1, 'materialización': 1, 'encarnación': 2}","{'forma': 1, 'aparición': 1, 'aspecto': 1, 'manifestación': 1, 'representación': 1}"
presitigioso,Asistió al presitigioso Rose Bruford College of Speech and Drama en Londres.,"{'famoso': 4, 'respetado': 1, 'reconocido': 12, 'célebre': 3, 'renombrado': 1, 'importante': 1, 'fabulosa': 1, 'ilustre': 2}",70.26499512048645,"{'renombrado': 1, 'distinguido': 1, 'destacado': 1, 'ilustre': 1, 'afamado': 1}","{'famoso': 1, 'renombrado': 1, 'distinguido': 1, 'respetado': 1, 'reconocido': 1}"
islotes,"Atafu, antiguamente conocida como ""Grupo del Duque de York"" es un grupo de islotes de coral en Tokelau en el sur del océano Pacífico.","{'islas': 11, 'atollos': 1, 'tierras': 1, 'pequeñas islas': 2, 'una pequeña isla': 1, 'islas pequeñas': 1, 'islotes': 3, 'islitas': 1, 'ínsula': 2, 'cayo': 1, 'ínsulas': 1}",69.21564343456409,"{'sitios': 1, 'bancos': 1, 'cayos': 1, 'peñascos': 1, 'roquedales': 1}","{'islas': 1, 'tierras': 1, 'porciones': 1, 'pedazos': 1, 'montículos': 1}"
indispuesto,"Aunque indispuesto, Mantaro (Kid Músculo) es uno de los jóvenes héroes que forma parte de ello y termina derrotando a su padre para poderse graduar.","{'desganado': 2, 'enfermo': 6, 'molesto': 1, 'indispuesto': 3, 'achacoso': 1, 'en desacuerdo': 1, 'contrariado': 1, 'disgustado': 5, 'destemplado': 2, 'aquejado': 1, 'inseguro': 1, 'maldispuesto': 1}",66.93960751796574,"{'enfermo': 1, 'mal': 1, 'débil': 1, 'apagado': 1, 'cansado': 1}","{'enfermo': 1, 'desganado': 1, 'molesto': 1, 'incómodo': 1, 'infeliz': 1}"
historiográfica,Auriga de Delfos es la denominación historiográfica de una obra maestra de la escultura griega del denominado estilo severo (transición entre la escultura arcaica y la clásica).,"{'popular': 1, 'histórica': 10, 'del análisis histórico': 1, 'de historia': 1, 'historiográfica': 6, 'teórica': 1, 'historica': 3, 'conocedor de historia': 1, 'temporal': 1}",43.73768277177368,"{'histórica': 1, 'narrativa': 1, 'documental': 1, 'descriptiva': 1, 'crónica': 1}","{'histórica': 1, 'escrita': 1, 'documentada': 1, 'registrada': 1, 'citada': 1}"
burlesca,"Bajo el lema """"Si vives el Carnaval, las Prisillas te entrarán"""", ""Pedaleros"" e ""Imposibles"" invitan a las demás peñas y a cualquier particular que lo desee a participar en el acto que año tras año se va consolidando con su toque de humor inteligente, crítica burlesca, improvisación y ""pitorreo"".","{'burlona': 2, 'humorística': 1, 'bromesco': 1, 'de burla': 1, 'jocosa': 5, 'sarcástica': 3, 'festiva': 1, 'ofensiva': 1, 'graciosa': 1, 'satírica': 2, 'irónica': 2, 'picaresca': 1, 'satirica': 1, 'bufona': 1, 'bufonesca': 1, 'chistosa': 1}",38.53232118549686,"{'graciosa': 1, 'chistosa': 1, 'irónica': 1, 'jocosa': 1, 'satírica': 1}","{'irónica': 1, 'sarcástica': 1, 'mordaz': 1, 'chistosa': 1, 'humorística': 1}"
pitorreo,"Bajo el lema """"Si vives el Carnaval, las Prisillas te entrarán"""", ""Pedaleros"" e ""Imposibles"" invitan a las demás peñas y a cualquier particular que lo desee a participar en el acto que año tras año se va consolidando con su toque de humor inteligente, crítica burlesca, improvisación y ""pitorreo"".","{'ruido': 1, 'cachondeo': 3, 'burla': 14, 'cotorreo': 1, 'pitorreo': 1, 'choteo': 1, 'guasa': 2, 'irrespetuoso': 1, 'burlón': 1}",38.53232118549686,"{'sorna': 1, 'burla': 1, 'chiste': 1, 'chanza': 1, 'broma': 1}","{'broma': 1, 'burla': 1, 'mofa': 1, 'chiste': 1, 'tomadura': 1}"
homónimo,Basada en la novela de Alice Hoffman de título homónimo.,"{'igual': 6, 'tocayo': 8, 'que tiene el mismo nombre propio que otra': 1, 'idéntico': 2, 'homónimo': 4, 'de mismo nombre': 1, 'alice hoffman': 1, 'del mismo título': 1, 'semejante': 1}",89.88334289539111,"{'igual': 1, 'idéntico': 1, 'parecido': 1, 'semejante': 1, 'coincidente': 1}","{'igual': 1, 'mismo': 1, 'semejante': 1, 'idéntico': 1, 'equivalente': 1}"
debut,"Cabrini hizo su debut en el fútbol profesional con U.S. Cremonese en la temporada de 1973-1974 de la Serie C, totalizando 3 presencias y ganando el jersey de titular para la siguiente temporada de 1974-1975.","{'primera presentación': 1, 'estreno': 8, 'inicio': 2, 'aparición': 5, 'presentación': 3, 'inició': 1, 'debut': 1, 'lanzamiento': 1, 'iniciación': 1, 'comienzo': 1, 'primera actuación': 1}",47.887893633175466,{'salida': 1},"{'comienzo': 1, 'estreno': 1, 'presentación': 1, 'aparición': 1, 'inicio': 1}"
cuchicheaban,Cada vez que ella decía algo se burlaban y cuchicheaban cosas sobre ella.,"{'secreteaban': 5, 'cotilleaban': 1, 'charlaban': 1, 'hablaban': 1, 'comentaban': 1, 'bisbisear': 1, 'susurraban': 6, 'bisbiseaban': 1, 'chismorreaban': 2, 'chismoseaban': 1, 'chismeaban': 3, 'murmuraban': 2}",71.23410724156992,"{'susurraban': 1, 'murmuraban': 1, 'chismorreaban': 1, 'murmulleaban': 1, 'charlaban': 1}","{'susurraban': 1, 'farfullaban': 1, 'murmuraban': 1, 'rechinaban': 1, 'rumoreaban': 1}"
demarcación,"Calculando el territorio que los ejércitos convergentes de los aliados occidentales y la URSS podían tomar, la Conferencia de Yalta determinó las líneas de demarcación para las respectivas zonas de ocupación.","{'limitación': 11, 'delimitación': 7, 'límites': 1, 'frontera': 3, 'limitacion': 1, 'división': 1, 'separación': 1}",45.5353244955545,"{'sinónimo': 1, 'separa': 1, 'delineación': 1, 'límite': 1, 'frontera': 1}","{'frontera': 1, 'límite': 1, 'división': 1, 'separación': 1, 'raya': 1}"
apliques,"Casi siempre de forma circular, acorazonada u ovalada, macizo o calado, ubicado en la parte delantera central, sujeta por medio de cadenas que surgen del centro un cinturón ancho de cuero, adornado con apliques de metal, o también con monedas de la época, como por ejemplo los patacones, hechos de oro, plata u otros materiales, según el poder económico de su dueño.","{'detalles': 4, 'apliques': 2, 'usa': 1, 'diseños': 1, 'lamparas': 1, 'adorno': 1, 'piezas': 4, 'adornos': 4, 'aplicaciones': 1, 'fijadores': 1, 'adaptar': 1, 'tachuelas': 1, 'instalaciones': 1, 'abalorios': 1, 'implantaciones': 1}",70.67995440002942,"{'adornos': 1, 'decoraciones': 1, 'ornamentos': 1, 'engastes': 1, 'ornatos': 1}","{'adornos': 1, 'piezas': 1, 'detalles': 1, 'incrustaciones': 1, 'adornamientos': 1}"
debutó,"Castellanos debutó como El Salvaje, después de haber sido entrenado por Rey Mysterio, Sr. y su hermano, Fobia; haciendo equipo con su hermano.","{'se presentó': 2, 'estrenó': 3, 'inicio': 1, 'apareció': 3, 'inició': 6, 'empezó': 1, 'comenzó': 5, 'debutó': 1, 'entrenarse': 1, 'se estrenó': 1, 'hizo su primera aparición': 1}",69.73065600421813,"{'salió': 1, 'empezó': 1, 'estrenó': 1, 'inauguró': 1, 'debut': 1}","{'comenzó': 1, 'empezó': 1, 'arrancó': 1, 'inició': 1, 'estrenó': 1}"
municipio,Cobisa es un municipio español de la provincia de Toledo en Castilla-La Mancha.,"{'distrito': 1, 'pueblo': 6, 'ciudad': 3, 'lugar': 1, 'barrio': 2, 'una municipalidad española': 1, 'ayuntamiento': 6, 'poblado': 1, 'consistorio': 1, 'localidad': 1, 'comuna': 1, 'vecindario': 1}",55.11584890965734,"{'localidad': 1, 'pueblo': 1, 'villa': 1, 'ciudad': 1, 'aldea': 1}","{'pueblo': 1, 'localidad': 1, 'ciudad': 1, 'villa': 1, 'burgo': 1}"
dramaturgo,"Cofundador de la revista literaria y cultural Altazor (1993) de El Puerto de Santa María, en la que participan autores como el dramaturgo Juan García Larrondo, y poetas como Juan Carlos Arniz Sanz, Andrés Hernández o Julio Rivera Cross y Presidente de la Asociación Cultural del mismo nombre.","{'escritor': 15, 'dramaturgo': 2, 'comediografo': 1, 'autor': 3, 'actor': 1, 'comediógrafo': 1, 'escritor de teatro': 1, 'libretista': 1}",65.76254046956933,"{'senecista': 1, 'autor': 1, 'escritor': 1, 'poeta': 1, 'versificador': 1}","{'escritor': 1, 'autor': 1, 'creador': 1, 'redactor': 1, 'cuentista': 1}"
repertorio,"Comenzó su carrera musical como acompañante de diversas bandas de extracción popular hasta que en 1986 crea Dosis, un grupo con orientación pop bailable en el cual canta y toca teclados y guitarra, ejecutando un repertorio basado exclusivamente en temas de su autoría.","{'catálogo': 13, 'discografía': 1, 'trabajo propio': 1, 'repertorio': 1, 'inventario': 3, 'serie': 1, 'recopilación': 1, 'lista': 3, 'conjunto': 1}",52.09099975068558,"{'conjunto': 1, 'colección': 1, 'catálogo': 1, 'lista': 1, 'selección': 1}","{'lista': 1, 'canciones': 1, 'temas': 1, 'colección': 1, 'recopilación': 1}"
carisma,"Como cantante eligieron a una joven de poderosa voz y enorme carisma, Vicky Larraz.","{'simpatía': 2, 'encanto': 3, 'personalidad': 11, 'alegría': 1, 'simpatia': 1, 'gracia': 3, 'entusiasmo': 1, 'carácter': 1, 'atractivo': 1, 'carisma': 1}",76.92307692307692,"{'atractivo': 1, 'encanto': 2, 'magnetismo': 1, 'simpatía': 1}","{'atractivo': 1, 'encanto': 1, 'presencia': 1, 'magnetismo': 1, 'personalidad': 1}"
hechicero,"Como la gran mayoría de los magos, Nathaniel es hijo de plebeyos que lo ""cedieron"" al Gobierno para que fuera educado como hechicero, la clase dirigente del Imperio, a cambio de algo de dinero.","{'mago': 16, 'advino': 1, 'brujo': 8}",68.95728942973037,"{'sabio': 1, 'brujo': 1, 'mago': 1, 'encantador': 1, 'hechizador': 1}","{'mago': 1, 'brujo': 1, 'chamán': 1, 'curandero': 1, 'sanador': 1}"
substitución,Como substitución se realizó un puente pedestre de 60 metros durante el gobierno de la República Democrática Alemana (RDA).,"{'reemplazo': 14, 'remplazo': 2, 'algo diferente': 1, 'cambio': 2, 'substitución': 1, 'reemplazado': 1, 'intercambio': 1, 'sustitución': 1, 'sustituto': 1, 'alternativa': 1}",57.50500637174585,"{'reemplazo': 1, 'cambio': 1, 'sustitución': 1, 'intercambio': 1, 'modificación': 1}","{'cambio': 1, 'reemplazo': 1, 'sustituto': 1, 'suplencia': 1, 'trueque': 1}"
foro,"Con claras influencias del Círculo Lingüístico de Praga, pretendían crear un foro de estudio para lingüistas que propiciara la investigación en este campo.","{'grupo': 5, 'chat': 1, 'plaza': 1, 'círculo': 1, 'curia': 1, 'una plaza': 1, 'circo': 1, 'audiencia': 1, 'debate': 7, 'coloquio': 1, 'una mesa redonda': 1, 'ateneo': 1, 'centro': 1, 'lugar': 2}",51.89947183618071,"{'sitio': 1, 'espacio': 1, 'ambiente': 1, 'ámbito': 1, 'escenario': 1}","{'espacio': 1, 'plataforma': 1, 'reunión': 1, 'contexto': 1, 'club': 1}"
propiciara,"Con claras influencias del Círculo Lingüístico de Praga, pretendían crear un foro de estudio para lingüistas que propiciara la investigación en este campo.","{'apoyara': 2, 'proporcionara': 1, 'favorara': 1, 'daría': 1, 'promoviera': 3, 'favoreciera': 2, 'favorecera': 2, 'facilitara': 2, 'inculcara': 1, 'motivara': 2, 'generara': 1, 'incentivara': 1, 'ayudara': 1, 'fomentara': 2, 'animara': 1, 'permitiera': 1, 'empujara': 1}",51.89947183618071,"{'suscitara': 1, 'favoreciera': 1, 'estimulara': 1, 'impulsara': 1, 'incentivara': 1}","{'facilitara': 1, 'permitiera': 1, 'apoyara': 1, 'impulsara': 1, 'fomentara': 1}"
asiduidad,"Con él actúa con asiduidad gracias a la Secretaría de Cultura que los lleva por toda la provincia, llegando a juntar más de 1000 personas en febrero de 1988 en cada una de las 6 noches en la cúpula destinada al Rock en la 1.","{'constancia': 7, 'frecuencia': 9, 'aplicación': 1, 'perseverancia': 3, 'atención': 1, 'aplicacion': 1, 'constante': 1, 'continuidad': 1, 'esmero': 1}",63.479623824451416,"{'sistemáticamente': 1, 'frecuentemente': 1, 'constancia': 1, 'regularidad': 1, 'habitualidad': 1}","{'constancia': 1, 'regularidad': 1, 'frecuencia': 1, 'habituación': 1, 'puntualidad': 1}"
cúpula,"Con él actúa con asiduidad gracias a la Secretaría de Cultura que los lleva por toda la provincia, llegando a juntar más de 1000 personas en febrero de 1988 en cada una de las 6 noches en la cúpula destinada al Rock en la 1.","{'domo': 9, 'recinto': 1, 'zona': 1, 'cúpula': 4, 'boveda': 1, 'bóveda': 5, 'punta': 1, 'el foro': 1, 'el domo': 1, 'parte': 1}",63.479623824451416,"{'salón': 1, 'recinto': 1, 'domo': 1, 'techo': 1, 'abovedado': 1}","{'domo': 1, 'techo': 1, 'cubierta': 1, 'bóveda': 1, 'arcada': 1}"
disolución,"Con la disolución de la Serenísima, pasó a manos francesas y británicas, bajo cuyo protectorado fue capital de los Estados Unidos de las Islas Jónicas.","{'finalización': 1, 'desaparición': 5, 'fin': 1, 'caída': 1, 'ruptura': 2, 'separación': 6, 'desenfreno': 1, 'desunión': 1, 'disgregación': 1, 'solución': 1, 'disolución': 1, 'disipación': 1, 'resolución': 1, 'el desmantelamiento': 1, 'desvinculación': 1}",47.95956593194123,"{'solución': 1, 'terminación': 1, 'desintegración': 1, 'separación': 1, 'quiebra': 1}","{'fin': 1, 'separación': 1, 'desaparición': 1, 'ruptura': 1, 'desmantelamiento': 1}"
protectorado,"Con la disolución de la Serenísima, pasó a manos francesas y británicas, bajo cuyo protectorado fue capital de los Estados Unidos de las Islas Jónicas.","{'protección': 3, 'mandato': 9, 'cuidado': 1, 'posesión': 1, 'territorio': 5, 'dominio': 3, 'protector': 1, 'cuidador': 1, 'colonia': 1}",47.95956593194123,"{'amparo': 1, 'tutela': 1, 'dirección': 1, 'control': 1, 'apoyo': 1}","{'patrocinio': 1, 'tutela': 1, 'resguardo': 1, 'amparo': 1, 'defensa': 1}"
alfabetización,"Con la serie de libros para principiantes que inauguró "" El Gato"", Seuss promovió tanto a su nombre, como a la alfabetización elemental en los Estados Unidos.","{'educación': 14, 'alfabetización': 5, 'instrucción': 1, 'formación': 2, 'escolarización': 1, 'enseñanza': 1, 'lectura': 1}",44.4093703272969,"{'lectura': 1, 'escritura': 1, 'educación': 1, 'instrucción': 1, 'aprendizaje': 1}","{'lectura': 1, 'escritura': 1, 'enseñanza': 1, 'aprendizaje': 1, 'educación': 1}"
asumiendo,"Conforme avanzaba el debate en el Congreso de Filadelfia, Lee iba asumiendo una posición más favorable a la independencia total y no sólo a la autonomía dentro del Imperio Británico, su conviccón de la necesidad de la independencia logró convencer a delegados de otras colonias e incluso persuadió a sus propios electores de Virginia, temerosos que Lee pudiera llegar demasiado lejos.","{'aceptando': 5, 'asimilando': 1, 'tengando': 1, 'tomando': 5, 'admitiendo': 2, 'contrayendo': 1, 'dando': 1, 'intuyendo': 1, 'atendiendo': 1, 'alcanzando': 1, 'adoptando': 1, 'consiguiendo': 1, 'logrando': 1, 'ocupando': 1, 'obteniendo': 1, 'adquiriendo': 1}",47.39009433962265,"{'adoptando': 1, 'tomando': 1, 'aceptando': 1, 'abrazando': 1, 'adquiriendo': 1}","{'tomando': 1, 'adoptando': 1, 'escogiendo': 1, 'eligiendo': 1, 'adquiriendo': 1}"
autonomía,"Conforme avanzaba el debate en el Congreso de Filadelfia, Lee iba asumiento una posición más favorable a la independencia total y no sólo a la autonomía dentro del Imperio Británico, su conviccón de la necesidad de la independencia logró convencer a delegados de otras colonias e incluso persuadió a sus propios electores de Virginia, temerosos que Lee pudiera llegar demasiado lejos.","{'libertad': 9, 'independencía': 1, 'propiedad': 1, 'indipendencia': 1, 'soberanía': 5, 'dependencia': 1, 'independencia': 4, 'autonomía': 2, 'autogestión': 1}",47.39009433962265,"{'sueldo': 1, 'poder': 1, 'pasaporte': 1, 'sufragio': 1, 'suerte': 1}","{'independencia': 1, 'libertad': 1, 'autodeterminación': 1, 'soberanía': 1, 'autarquía': 1}"
convicción,"Conforme avanzaba el debate en el Congreso de Filadelfia, Lee iba asumiento una posición más favorable a la independencia total y no sólo a la autonomía dentro del Imperio Británico, su convicción de la necesidad de la independencia logró convencer a delegados de otras colonias e incluso persuadió a sus propios electores de Virginia, temerosos que Lee pudiera llegar demasiado lejos.","{'creencia': 5, 'fé': 1, 'ideal': 2, 'seguridad': 5, 'convencimiento': 3, 'persuación': 1, 'certeza': 5, 'persuasión': 1, 'fuerte creencia': 1, 'idea': 1}",46.97137419404956,"{'certeza': 1, 'convencimiento': 1, 'firmeza': 1, 'convicción': 1, 'seguridad': 1}","{'creencia': 1, 'persuasión': 1, 'determinación': 1, 'confianza': 1, 'certeza': 1}"
persuadió,"Conforme avanzaba el debate en el Congreso de Filadelfia, Lee iba asumiento una posición más favorable a la independencia total y no sólo a la autonomía dentro del Imperio Británico, su conviccón de la necesidad de la independencia logró convencer a delegados de otras colonias e incluso persuadió a sus propios electores de Virginia, temerosos que Lee pudiera llegar demasiado lejos.","{'convenció': 22, 'convneció': 1, 'influenció': 1, 'persuadió': 1}",47.39009433962265,"{'convenció': 1, 'influenció': 1, 'sedujó': 1, 'convirtió': 1, 'atrajo': 1}","{'convenció': 1, 'indujo': 1, 'obligó': 1, 'impulsó': 1, 'influyó': 1}"
cincelado,"Consiste en un escudo metálico, que puede llevar las iniciales de su dueño o la marca del estanciero, como así también el cincelado de una flor, caballo u otro motivo criollo.","{'marcado': 1, 'dibujo': 2, 'burilado': 1, 'detallado': 1, 'esculpido': 3, 'grabado': 4, 'labrado': 4, 'tallado': 5, 'relieve': 1, 'repujado': 1, 'la grabación': 1, 'cincelado': 1}",66.07159791370317,"{'sacado': 1, 'grabado': 1, 'labrado': 1, 'tallado': 1, 'marcado': 1}","{'grabado': 1, 'tallado': 1, 'esculpido': 1, 'labrado': 1, 'repujado': 1}"
estanciero,"Consiste en un escudo metálico, que puede llevar las iniciales de su dueño o la marca del estanciero, como así también el cincelado de una flor, caballo u otro motivo criollo.","{'propietario': 11, 'estanciero': 3, 'hacendado': 4, 'patron': 1, 'propitario': 1, 'granero': 1, 'ganadero': 2, 'escudero': 1, 'ranchero': 1}",66.07159791370317,"{'suertudo': 1, 'hacendado': 1, 'terrateniente': 1, 'propietario': 1, 'latifundista': 1}","{'ganadero': 1, 'hacendado': 1, 'terrateniente': 1, 'propietario': 1, 'ranchero': 1}"
reclutado,"Contrae matrimonio a los 18 años, pero la vida familiar durará poco, ya que en 1913 será reclutado por el Ejército de la Rusia Zarista.","{'enrolado': 4, 'enlistado': 4, 'elegido': 1, 'tomado': 1, 'alistado': 5, 'listado': 2, 'incorporado': 3, 'recolectado': 1, 'incorporar': 1, 'convocado': 1, 'llamado': 1, 'reclutado': 1}",72.19343156843159,"{'sometido': 1, 'enrolado': 1, 'seleccionado': 1, 'alistado': 1, 'recluido': 1}","{'alistado': 1, 'enrolado': 1, 'incorporado': 1, 'ingresado': 1, 'llamado': 1}"
sobrenatural,"Corazón de tinta: trata de una familia muy pequeña compuesta por una chica llamada Meggie y su padre llamado Mortimer,al que meggie le deci mo, Mo tenía un poder sobrenatural para lograr que los personajes de los libros con solo leer en voz alta cobraran vida, pero no quería que su hija se enterara ya que tenía miedo de que le pidiera leer en voz alta y la niña desaparezca como ocurrió como su esposa,ellos viven en una choza ubicada en un campo de Alemania.","{'mágico': 4, 'superior': 1, 'divino': 5, 'no humano': 1, 'sobrehumano': 5, 'extraordinario': 5, 'infernal': 1, 'fantástico': 1, 'prodigioso': 1, 'paranomal': 1}",68.99840006646976,"{'paranormal': 1, 'extraño': 1, 'oculto': 1, 'sobrenatural': 1, 'misterioso': 1}","{'mágico': 1, 'extraordinario': 1, 'paranormal': 1, 'inusual': 1, 'especial': 1}"
mortífero,"Cuanto a los artistas, los únicos que resisten a la compresión y preservan sus personalidades, conocen una tragedia propia: el ideal estético es mortífero, como lo prueba el suicidio del pintor Lucien, inspirado en Vincent Van Gogh, que Mirbeau acaba de descubrir.","{'mortal': 12, 'letal': 10, 'de muerte': 1, 'fatal': 1, 'lúgubre': 1}",54.00753742972276,"{'letal': 2, 'venenoso': 1, 'fatal': 1, 'funesto': 1}","{'mortal': 1, 'letal': 1, 'funesto': 1, 'destructor': 1, 'aniquilador': 1}"
